Дата;Чемпионат;Дома;Гости;Счет хозяев;Счет гостей;Ожидаемые голы (xG) Дома;Ожидаемые голы (xG) Гости;xG в створ (xGOT) Дома;xG в створ (xGOT) Гости;Владение мячом Дома;Владение мячом Гости;Удары в створ Дома;Удары в створ Гости;Угловые Дома;Угловые Гости;Желтые карточки Дома;Желтые карточки Гости;Красные карточки Дома;Красные карточки Гости;Коэффициенты П1;Коэффициенты Н;Коэффициенты П2
04.10.2025 17:00;АнглияПремьер-лига - Тур 7;Арсенал;Вест Хэм;2;0;2.78;0.49;2.2;0;0.68;0.32;5;0;8;3;0;2;0;0;1.19;7.4;14
04.10.2025 19:30;АнглияПремьер-лига - Тур 7;Челси;Ливерпуль;2;1;1;1.94;1.66;0.96;0.53;0.47;6;2;7;2;0;2;0;0;2.95;3.75;2.36
05.10.2025 16:00;АнглияПремьер-лига - Тур 7;Эвертон;Кристал Пэлас;2;1;2.03;1.53;2.62;1.39;0.5;0.5;7;8;2;4;2;3;0;0;2.65;3.15;2.8
05.10.2025 16:00;АнглияПремьер-лига - Тур 7;Ньюкасл Юнайтед;Ноттингем Форест;2;0;3.45;0.3;3.84;0.26;0.51;0.49;9;4;8;1;0;4;0;0;1.51;4.5;6
05.10.2025 16:00;АнглияПремьер-лига - Тур 7;Вулверхэмптон;Брайтон;1;1;0.55;0.92;0.67;1.46;0.42;0.58;3;6;2;8;2;4;0;0;3.55;3.55;2.05
05.10.2025 16:00;АнглияПремьер-лига - Тур 7;Астон Вилла;Бёрнли;2;1;1.16;0.4;2.05;0.29;0.55;0.45;7;2;6;4;3;1;0;0;1.57;4.1;6
05.10.2025 18:30;АнглияПремьер-лига - Тур 7;Брентфорд;Манчестер Сити;0;1;0.7;0.85;0.23;0.65;0.3;0.7;1;4;3;2;3;2;0;0;5;4.3;1.62
18.10.2025 14:30;АнглияПремьер-лига - Тур 8;Ноттингем Форест;Челси;0;3;2.35;1.68;0.55;2.16;0.5;0.5;2;6;5;2;2;4;0;1;3.7;3.75;1.95
18.10.2025 17:00;АнглияПремьер-лига - Тур 8;Сандерленд;Вулверхэмптон;2;0;0.64;0.83;0.22;0.27;0.41;0.59;2;3;2;2;0;0;0;0;2.5;3.05;3.1
18.10.2025 17:00;АнглияПремьер-лига - Тур 8;Манчестер Сити;Эвертон;2;0;2.39;0.81;1.48;0.07;0.71;0.29;7;1;11;3;0;2;0;0;1.4;4.9;7.6
18.10.2025 17:00;АнглияПремьер-лига - Тур 8;Кристал Пэлас;Борнмут;3;3;4.44;2.03;3.94;2.81;0.52;0.48;7;5;6;5;1;4;0;0;2.15;3.35;3.45
18.10.2025 17:00;АнглияПремьер-лига - Тур 8;Брайтон;Ньюкасл Юнайтед;2;1;0.92;1.45;1.44;1.06;0.46;0.54;5;3;8;4;0;1;0;0;2.85;3.45;2.44
18.10.2025 17:00;АнглияПремьер-лига - Тур 8;Бёрнли;Лидс;2;0;0.46;2.62;1.21;0.51;0.31;0.69;3;4;1;5;2;1;0;0;3.5;3.25;2.2
18.10.2025 19:30;АнглияПремьер-лига - Тур 8;Фулхэм;Арсенал;0;1;0.44;1.86;0;1.42;0.37;0.63;0;5;6;10;0;0;0;0;6.4;4.3;1.51
19.10.2025 16:00;АнглияПремьер-лига - Тур 8;Тоттенхэм;Астон Вилла;1;2;0.75;0.32;1;0.96;0.53;0.47;3;2;6;6;2;0;0;0;2.21;3.4;3.3
19.10.2025 18:30;АнглияПремьер-лига - Тур 8;Ливерпуль;Манчестер Юнайтед;1;2;2.75;1.34;2.33;1.05;0.63;0.37;6;4;9;4;0;2;0;0;1.71;4.4;4.5
20.10.2025 22:00;АнглияПремьер-лига - Тур 8;Вест Хэм;Брентфорд;0;2;0.35;2.37;0.2;1.75;0.44;0.56;1;7;6;10;1;1;0;0;2.8;3.3;2.6
24.10.2025 22:00;АнглияПремьер-лига - Тур 9;Лидс;Вест Хэм;2;1;1.49;0.65;1.46;1.04;0.41;0.59;5;3;3;4;3;3;0;0;1.77;3.7;4.6
25.10.2025 17:00;АнглияПремьер-лига - Тур 9;Челси;Сандерленд;1;2;0.9;1.31;0.99;1.58;0.68;0.32;7;4;9;1;1;1;0;0;1.44;4.7;7
25.10.2025 17:00;АнглияПремьер-лига - Тур 9;Ньюкасл Юнайтед;Фулхэм;2;1;2.13;1.53;2.15;2.69;0.51;0.49;7;5;4;3;0;2;0;0;1.61;4.1;5.4
25.10.2025 19:30;АнглияПремьер-лига - Тур 9;Манчестер Юнайтед;Брайтон;4;2;1.29;1.12;3.05;1.7;0.44;0.56;9;5;1;6;2;2;0;0;2.02;3.95;3.5
25.10.2025 22:00;АнглияПремьер-лига - Тур 9;Брентфорд;Ливерпуль;3;2;2.76;2.3;2.49;2.06;0.34;0.66;8;5;5;4;3;2;0;0;3.85;4;1.85
26.10.2025 17:00;АнглияПремьер-лига - Тур 9;Вулверхэмптон;Бёрнли;2;3;2.28;1.43;2.3;1.88;0.57;0.43;7;7;4;3;1;0;0;0;1.92;3.4;4.3
26.10.2025 17:00;АнглияПремьер-лига - Тур 9;Борнмут;Ноттингем Форест;2;0;0.57;0.37;0.56;0.81;0.52;0.48;5;4;6;4;3;2;0;0;1.97;3.65;3.75
26.10.2025 17:00;АнглияПремьер-лига - Тур 9;Астон Вилла;Манчестер Сити;1;0;0.82;1.18;0.81;0.17;0.47;0.53;3;4;5;6;1;4;0;0;4.4;4;1.8
26.10.2025 17:00;АнглияПремьер-лига - Тур 9;Арсенал;Кристал Пэлас;1;0;0.91;0.45;1.02;0.48;0.6;0.4;3;1;4;3;0;0;0;0;1.39;5;7.8
26.10.2025 19:30;АнглияПремьер-лига - Тур 9;Эвертон;Тоттенхэм;0;3;1.74;1.72;1.2;3.22;0.54;0.46;2;4;9;8;2;0;0;0;2.23;3.35;3.3
01.11.2025 18:00;АнглияПремьер-лига - Тур 10;Фулхэм;Вулверхэмптон;3;0;1.39;0.24;1.92;0.1;0.63;0.37;6;2;10;1;1;3;0;1;1.82;3.7;4.4
01.11.2025 18:00;АнглияПремьер-лига - Тур 10;Ноттингем Форест;Манчестер Юнайтед;2;2;1.93;1.11;1.56;1.41;0.41;0.59;3;7;8;5;1;1;0;0;3.2;3.65;2.16
01.11.2025 18:00;АнглияПремьер-лига - Тур 10;Кристал Пэлас;Брентфорд;2;0;0.7;0.54;0.82;0.77;0.36;0.64;3;2;6;5;0;3;0;0;2.07;3.5;3.6
01.11.2025 18:00;АнглияПремьер-лига - Тур 10;Брайтон;Лидс;3;0;3.07;0.49;4.48;0.88;0.5;0.5;7;2;4;7;0;1;0;0;1.94;3.65;3.85
01.11.2025 18:00;АнглияПремьер-лига - Тур 10;Бёрнли;Арсенал;0;2;0.42;2.42;0;2.58;0.46;0.54;0;8;1;6;2;1;0;0;12;5.6;1.26
01.11.2025 20:30;АнглияПремьер-лига - Тур 10;Тоттенхэм;Челси;0;1;0.11;3.69;0.16;3.16;0.48;0.52;1;9;6;5;4;2;0;0;3.05;3.5;2.4
01.11.2025 23:00;АнглияПремьер-лига - Тур 10;Ливерпуль;Астон Вилла;2;0;1.19;0.41;1.01;0.3;0.53;0.47;4;3;1;4;2;3;0;0;1.65;4.3;4.7
02.11.2025 17:00;АнглияПремьер-лига - Тур 10;Вест Хэм;Ньюкасл Юнайтед;3;1;1.75;0.52;1.93;0.79;0.37;0.63;9;4;7;6;1;2;0;0;5;4.2;1.64
02.11.2025 19:30;АнглияПремьер-лига - Тур 10;Манчестер Сити;Борнмут;3;1;2.22;0.72;1.39;1.54;0.48;0.52;8;5;9;4;2;2;0;0;1.42;5;6.6
03.11.2025 23:00;АнглияПремьер-лига - Тур 10;Сандерленд;Эвертон;1;1;1.22;0.89;1.37;0.74;0.61;0.39;3;2;4;1;3;2;0;0;3.3;3.15;2.46
08.11.2025 15:30;АнглияПремьер-лига - Тур 11;Тоттенхэм;Манчестер Юнайтед;2;2;0.93;0.62;1.98;1.22;0.55;0.45;4;2;5;3;5;1;0;0;2.9;3.55;2.47
08.11.2025 18:00;АнглияПремьер-лига - Тур 11;Эвертон;Фулхэм;2;0;1.44;0.4;1.45;0.91;0.5;0.5;5;4;7;5;2;2;0;0;2.3;3.2;3.3
08.11.2025 18:00;АнглияПремьер-лига - Тур 11;Вест Хэм;Бёрнли;3;2;3.02;1.06;3.05;2.32;0.43;0.57;6;7;7;4;2;2;0;0;1.88;3.6;4.2
08.11.2025 20:30;АнглияПремьер-лига - Тур 11;Сандерленд;Арсенал;2;2;0.43;1.92;0.82;1.38;0.35;0.65;2;7;2;2;2;1;0;0;8;4.4;1.43
08.11.2025 23:00;АнглияПремьер-лига - Тур 11;Челси;Вулверхэмптон;3;0;3.31;0.17;3.19;0;0.64;0.36;8;0;10;1;1;2;0;0;1.38;5.2;7.6
09.11.2025 17:00;АнглияПремьер-лига - Тур 11;Ноттингем Форест;Лидс;3;1;2.55;0.69;3.41;0.93;0.45;0.55;6;3;6;4;2;1;0;0;2.23;3.15;3.5
09.11.2025 17:00;АнглияПремьер-лига - Тур 11;Кристал Пэлас;Брайтон;0;0;0.75;0.39;0.92;0.31;0.42;0.58;2;3;4;8;1;4;0;0;2.38;3.4;3
09.11.2025 17:00;АнглияПремьер-лига - Тур 11;Брентфорд;Ньюкасл Юнайтед;3;1;2.35;0.44;2.75;0.22;0.49;0.51;7;1;6;2;2;3;0;1;2.8;3.4;2.5
09.11.2025 17:00;АнглияПремьер-лига - Тур 11;Астон Вилла;Борнмут;4;0;1.69;1.61;2.28;1.05;0.52;0.48;8;3;6;9;2;2;0;0;2.3;3.4;3.15
09.11.2025 19:30;АнглияПремьер-лига - Тур 11;Манчестер Сити;Ливерпуль;3;0;1.51;0.61;2.13;0.06;0.49;0.51;6;1;7;7;2;4;0;0;1.96;4;3.65
22.11.2025 15:30;АнглияПремьер-лига - Тур 12;Бёрнли;Челси;0;2;0.44;1.71;0.11;2.3;0.44;0.56;2;5;1;9;2;3;0;0;5.4;4.2;1.58
22.11.2025 18:00;АнглияПремьер-лига - Тур 12;Фулхэм;Сандерленд;1;0;2.16;0.17;1.27;0.18;0.57;0.43;6;2;7;4;3;3;0;0;2.09;3.46;3.78
22.11.2025 18:00;АнглияПремьер-лига - Тур 12;Ливерпуль;Ноттингем Форест;0;3;1.93;1.58;0.67;2.78;0.74;0.26;4;7;8;6;2;0;0;0;1.46;4.6;7.62
22.11.2025 18:00;АнглияПремьер-лига - Тур 12;Вулверхэмптон;Кристал Пэлас;0;2;1.79;1.27;0.08;1.4;0.48;0.52;1;4;1;4;2;3;0;0;4.54;3.84;1.82
22.11.2025 18:00;АнглияПремьер-лига - Тур 12;Брайтон;Брентфорд;2;1;1.22;1.9;1.6;1.83;0.64;0.36;5;4;7;4;4;2;0;0;2.2;3.48;3.48
22.11.2025 18:00;АнглияПремьер-лига - Тур 12;Борнмут;Вест Хэм;2;2;4.05;0.65;4.49;0.72;0.76;0.24;10;2;9;2;3;2;0;0;1.7;4.22;4.89
22.11.2025 20:30;АнглияПремьер-лига - Тур 12;Ньюкасл Юнайтед;Манчестер Сити;2;1;2.24;2.49;2.5;0.84;0.33;0.67;5;4;5;9;1;3;0;0;4.13;3.83;1.9
23.11.2025 17:00;АнглияПремьер-лига - Тур 12;Лидс;Астон Вилла;1;2;1.79;1.58;1.72;0.46;0.48;0.52;5;3;3;3;5;1;0;0;3.5;3.39;2.22
23.11.2025 19:30;АнглияПремьер-лига - Тур 12;Арсенал;Тоттенхэм;4;1;1.92;0.07;3.15;0.13;0.57;0.43;8;2;4;1;1;3;0;0;1.5;4.41;7.12
24.11.2025 23:00;АнглияПремьер-лига - Тур 12;Манчестер Юнайтед;Эвертон;0;1;1.71;0.21;1.85;0.42;0.7;0.3;6;1;9;1;2;0;0;1;1.86;3.71;4.49
29.11.2025 18:00;АнглияПремьер-лига - Тур 13;Сандерленд;Борнмут;3;2;1.28;1.7;1.81;2.96;0.42;0.58;6;6;6;3;5;4;0;1;3.26;3.36;2.34
29.11.2025 18:00;АнглияПремьер-лига - Тур 13;Манчестер Сити;Лидс;3;2;3.1;1.54;3.68;2.29;0.62;0.38;9;4;8;1;4;1;0;0;1.22;7.96;11.7
29.11.2025 18:00;АнглияПремьер-лига - Тур 13;Брентфорд;Бёрнли;3;1;3.06;0.95;2.15;0.96;0.52;0.48;4;2;5;6;0;2;0;0;1.52;4.46;6.68
29.11.2025 20:30;АнглияПремьер-лига - Тур 13;Эвертон;Ньюкасл Юнайтед;1;4;0.99;1.91;0.89;2.77;0.49;0.51;2;8;8;7;0;0;0;0;2.69;3.38;2.76
29.11.2025 23:00;АнглияПремьер-лига - Тур 13;Тоттенхэм;Фулхэм;1;2;0.86;0.45;0.46;1.08;0.63;0.37;2;3;8;2;3;2;0;0;2.3;3.46;3.25
30.11.2025 15:00;АнглияПремьер-лига - Тур 13;Кристал Пэлас;Манчестер Юнайтед;1;2;1.83;1.19;1.07;1.31;0.44;0.56;3;6;4;4;3;2;0;0;2.17;3.78;3.28
30.11.2025 17:05;АнглияПремьер-лига - Тур 13;Ноттингем Форест;Брайтон;0;2;0.89;2;0.4;1.73;0.52;0.48;3;6;9;2;0;1;0;0;2.9;3.34;2.59
30.11.2025 17:05;АнглияПремьер-лига - Тур 13;Вест Хэм;Ливерпуль;0;2;0.3;1.25;0;1.64;0.44;0.56;0;5;7;2;3;0;1;0;5.19;4.67;1.61
